## root: 2
# generated by egg 0.9.4
0,1,i,7,0
0,1,+,0,3
0,1,+,0,21
0,1,+,3,0
0,1,+,67,102
0,1,-,0,201
0,1,-,67,70
0,1,-,196,198
0,1,*,0,7
0,1,*,7,0
0,1,x
1,1,+,1,3
1,1,+,3,1
1,1,*,1,7
1,1,*,7,1
1,1,ln,0
2,1,i,1,0
2,1,+,2,3
2,1,+,2,21
2,1,+,2,100
2,1,+,3,2
2,1,+,21,2
2,1,+,24,33
2,1,+,24,144
2,1,+,33,24
2,1,+,87,2
2,1,+,89,33
2,1,-,2,64
2,1,-,24,0
2,1,*,2,7
2,1,*,7,2
3,1,0
7,1,1
21,1,i,3,0
21,1,+,3,21
21,1,+,21,3
21,1,*,7,21
21,1,*,21,7
24,1,+,3,24
24,1,+,24,3
24,1,+,24,54
24,1,+,24,127
24,1,+,54,24
24,1,+,127,24
24,1,*,0,1
24,1,*,1,0
24,1,*,7,24
24,1,*,24,7
25,1,d,0,1
25,1,+,3,25
25,1,+,25,3
25,1,+,25,54
25,1,+,25,141
25,1,+,54,25
25,1,+,93,25
25,1,+,141,25
25,1,*,7,25
25,1,*,7,104
25,1,*,25,7
25,1,/,7,0
32,1,-1
33,1,+,33,3
33,1,*,0,32
33,1,*,32,0
33,1,*,33,7
54,1,+,54,3
54,1,*,1,3
54,1,*,3,1
54,1,*,54,7
63,1,+,3,63
63,1,+,63,3
63,1,+,63,148
63,1,+,148,63
63,1,+,152,153
63,1,*,2,3
63,1,*,3,2
63,1,*,63,7
64,1,i,63,0
64,1,+,64,3
64,1,-,173,174
64,1,*,64,7
66,1,i,0,0
66,1,+,21,66
66,1,+,66,3
66,1,+,66,21
66,1,-,180,183
66,1,-,185,187
66,1,*,66,7
67,1,+,67,3
67,1,*,25,66
67,1,*,66,25
67,1,*,67,7
68,1,d,0,25
68,1,+,3,68
68,1,+,68,3
68,1,+,68,162
68,1,+,135,165
68,1,+,162,68
68,1,*,68,7
69,1,+,69,3
69,1,*,66,68
69,1,*,68,66
69,1,*,69,7
70,1,i,69,0
70,1,+,70,3
70,1,-,190,193
70,1,*,70,7
87,1,+,21,21
89,1,+,21,24
93,1,+,3,54
100,1,*,32,64
102,1,*,32,70
104,1,pow,0,32
127,1,*,0,3
132,1,*,0,54
135,1,*,25,3
141,1,*,7,54
144,1,*,7,33
148,1,*,3,21
152,1,*,3,24
153,1,*,3,33
162,1,d,0,54
165,1,*,7,68
172,1,i,2,0
173,1,*,3,172
174,1,i,173,0
180,1,*,0,0
181,1,d,0,0
182,1,*,181,0
183,1,i,182,0
185,1,*,7,66
186,1,*,3,66
187,1,i,186,0
189,1,i,66,0
190,1,*,68,189
191,1,d,0,68
192,1,*,191,189
193,1,i,192,0
195,1,i,25,0
196,1,*,0,195
197,1,*,181,195
198,1,i,197,0
200,1,*,3,0
201,1,i,200,0
