## root: 3
# generated by egg 0.9.4
0,1,+,0,4
0,1,+,4,0
0,1,*,0,9
0,1,*,9,0
0,1,x
1,1,3
2,1,+,2,4
2,1,+,4,2
2,1,*,2,9
2,1,*,9,2
2,1,pow,0,1
3,1,d,0,2
3,1,+,3,4
3,1,+,3,197
3,1,+,4,3
3,1,*,1,155
3,1,*,2,15
3,1,*,3,9
3,1,*,9,3
3,1,*,15,2
3,1,*,33,93
3,1,*,93,33
3,1,*,155,1
3,1,*,188,1
4,1,0
9,1,1
15,1,+,4,15
15,1,+,15,4
15,1,*,1,33
15,1,*,9,15
15,1,*,15,9
15,1,*,33,1
15,1,/,1,0
18,1,+,4,18
18,1,+,18,4
18,1,*,9,18
18,1,*,18,9
18,1,ln,0
32,1,-1
33,1,+,4,33
33,1,+,33,4
33,1,*,9,33
33,1,*,33,9
33,1,/,9,0
33,1,pow,0,32
93,1,+,4,93
93,1,+,93,4
93,1,*,1,2
93,1,*,2,1
93,1,*,9,93
93,1,*,93,9
99,1,+,4,99
99,1,+,99,4
99,1,*,2,18
99,1,*,9,99
99,1,*,18,2
99,1,*,99,9
155,1,+,4,155
155,1,+,155,4
155,1,*,2,33
155,1,*,33,2
155,1,*,155,9
155,1,pow,0,171
169,1,+,2,2
169,1,+,169,4
169,1,*,2,171
169,1,*,9,169
169,1,*,169,9
171,1,2
174,1,+,9,18
174,1,+,18,9
174,1,+,174,4
174,1,*,174,9
178,1,+,18,18
178,1,+,178,4
178,1,*,9,178
178,1,*,18,171
178,1,*,178,9
188,1,*,9,155
197,1,*,33,4
